service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
JAN18-1930SupP-Weekday-01,1,1,1,1,1,0,0,20180118,20180125
JAN18-1900SaSP-Saturday-01,0,0,0,0,0,1,0,20180120,20180120
JAN18-1830SuMR-Sunday-01,0,0,0,0,0,0,1,20180121,20180121
JAN18-JANDA18-Weekday-28,1,1,1,1,1,0,0,20180111,20180420
JAN18-JANSA18-Saturday-14,0,0,0,0,0,1,0,20180113,20180421
JAN18-JANSU18-Sunday-14,0,0,0,0,0,0,1,20180114,20180415
JAN18-RedWeek-Weekday-48,1,1,1,1,1,0,0,20180219,20180402
JAN18-304Shop-Weekday-01,1,1,1,1,1,0,0,20180111,20180419
JAN18-305Shop-Weekday-01,1,1,1,1,1,0,0,20180112,20180420
JAN18-301Shop-Weekday-01,1,1,1,1,1,0,0,20180115,20180416
JAN18-302Shop-Weekday-01,1,1,1,1,1,0,0,20180116,20180417
JAN18-303Shop-Weekday-01,1,1,1,1,1,0,0,20180117,20180418
JAN18-WOTRDA-Weekday-25,1,1,1,1,1,0,0,20180111,20180420
JAN18-WOTRSA-Saturday-25,0,0,0,0,0,1,0,20180113,20180421
JAN18-WOTRSU-Sunday-25,0,0,0,0,0,0,1,20180114,20180415
