route_id,route_short_name,route_long_name,route_desc,route_type,route_url
2-273,2,,,2,
4-273,4,,,3,
5-273,5,,,3,
6-273,6,,,3,
7-273,7,,,3,
9-273,9,,,3,
11-273,11,,,3,
12-273,12,,,3,
14-273,14,,,3,
16-273,16,,,3,
17-273,17,,,3,
18-273,18,,,3,
19-273,19,,,3,
21-273,21,,,3,
22-273,22,,,3,
23-273,23,,,3,
24-273,24,,,3,
26-273,26,,,3,
27-273,27,,,3,
28-273,28,,,3,
30-273,30,,,3,
31-273,31,,,3,
32-273,32,,,3,
33-273,33,,,3,
34-273,34,,,3,
37-273,37,,,3,
38-273,38,,,3,
40-273,40,,,3,
42-273,42,,,3,
44-273,44,,,3,
45-273,45,,,3,
47-273,47,,,3,
48-273,48,,,3,
49-273,49,,,3,
50-273,50,,,3,
54-273,54,,,3,
56-273,56,,,3,
61-273,61,,,3,
62-273,62,,,3,
63-273,63,,,3,
64-273,64,,,3,
66-273,66,,,3,
80-273,80,,,3,
81-273,81,,,3,
82-273,82,,,3,
83-273,83,,,3,
84-273,84,,,3,
85-273,85,,,3,
86-273,86,,,3,
87-273,87,,,3,
88-273,88,,,3,
91-273,91,,,3,
92-273,92,,,3,
93-273,93,,,3,
94-273,94,,,3,
95-273,95,,,3,
96-273,96,,,3,
97-273,97,,,3,
98-273,98,,,3,
99-273,99,,,3,
101-273,101,,,3,
103-273,103,,,3,
104-273,104,,,3,
105-273,105,,,3,
106-273,106,,,3,
111-273,111,,,3,
112-273,112,,,3,
122-273,122,,,3,
129-273,129,,,3,
131-273,131,,,3,
134-273,134,,,3,
135-273,135,,,3,
152-273,152,,,3,
153-273,153,,,3,
154-273,154,,,3,
155-273,155,,,3,
158-273,158,,,3,
161-273,161,,,3,
162-273,162,,,3,
164-273,164,,,3,
165-273,165,,,3,
166-273,166,,,3,
167-273,167,,,3,
168-273,168,,,3,
170-273,170,,,3,
171-273,171,,,3,
173-273,173,,,3,
174-273,174,,,3,
175-273,175,,,3,
176-273,176,,,3,
179-273,179,,,3,
187-273,187,,,3,
197-273,197,,,3,
198-273,198,,,3,
199-273,199,,,3,
221-273,221,,,3,
222-273,222,,,3,
224-273,224,,,3,
225-273,225,,,3,
228-273,228,,,3,
231-273,231,,,3,
232-273,232,,,3,
233-273,233,,,3,
234-273,234,,,3,
235-273,235,,,3,
236-273,236,,,3,
237-273,237,,,3,
252-273,252,,,3,
256-273,256,,,3,
261-273,261,,,3,
262-273,262,,,3,
263-273,263,,,3,
264-273,264,,,3,
265-273,265,,,3,
267-273,267,,,3,
268-273,268,,,3,
269-273,269,,,3,
270-273,270,,,3,
271-273,271,,,3,
272-273,272,,,3,
273-273,273,,,3,
277-273,277,,,3,
278-273,278,,,3,
282-273,282,,,3,
283-273,283,,,3,
290-273,290,,,3,
291-273,291,,,3,
293-273,293,,,3,
294-273,294,,,3,
301-273,301,,,3,
302-273,302,,,3,
303-273,303,,,3,
304-273,304,,,3,
305-273,305,,,3,
401-270,401,,,3,
401-273,401,,,3,
402-270,402,,,3,
402-273,402,,,3,
403-270,403,,,3,
403-273,403,,,3,
404-270,404,,,3,
404-273,404,,,3,
405-270,405,,,3,
405-273,405,,,3,
406-270,406,,,3,
406-273,406,,,3,
602-273,602,,,3,
611-273,611,,,3,
612-273,612,,,3,
613-273,613,,,3,
618-273,618,,,3,
619-273,619,,,3,
622-273,622,,,3,
630-273,630,,,3,
632-273,632,,,3,
633-273,633,,,3,
634-273,634,,,3,
636-273,636,,,3,
640-273,640,,,3,
641-273,641,,,3,
644-273,644,,,3,
648-273,648,,,3,
649-273,649,,,3,
660-273,660,,,3,
661-273,661,,,3,
665-273,665,,,3,
669-273,669,,,3,
670-273,670,,,3,
674-273,674,,,3,
678-273,678,,,3,
681-273,681,,,3,
691-273,691,,,3,
698-273,698,,,3,
