route_id,service_id,trip_id,trip_headsign,direction_id,block_id
401-273,JAN18-1830SuMR-Sunday-01,47949091-JAN18-1830SuMR-Sunday-01,"Canadian Tire Centre",0,5539877
402-273,JAN18-1830SuMR-Sunday-01,47949094-JAN18-1830SuMR-Sunday-01,"Canadian Tire Centre",0,5539878
403-273,JAN18-1830SuMR-Sunday-01,47949097-JAN18-1830SuMR-Sunday-01,"Canadian Tire Centre",0,5539879
404-273,JAN18-1830SuMR-Sunday-01,47949100-JAN18-1830SuMR-Sunday-01,"Canadian Tire Centre",0,5539880
404-273,JAN18-1830SuMR-Sunday-01,47949102-JAN18-1830SuMR-Sunday-01,"Canadian Tire Centre",0,5539880
405-273,JAN18-1830SuMR-Sunday-01,47949105-JAN18-1830SuMR-Sunday-01,"Canadian Tire Centre",0,5539881
406-273,JAN18-1830SuMR-Sunday-01,47949108-JAN18-1830SuMR-Sunday-01,"Canadian Tire Centre",0,5539882
406-270,JAN18-1900SaSP-Saturday-01,47931363-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537072
405-270,JAN18-1900SaSP-Saturday-01,47931366-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537071
405-270,JAN18-1900SaSP-Saturday-01,47931371-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537070
405-270,JAN18-1900SaSP-Saturday-01,47931372-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537069
405-270,JAN18-1900SaSP-Saturday-01,47931375-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537068
404-270,JAN18-1900SaSP-Saturday-01,47931378-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537067
404-270,JAN18-1900SaSP-Saturday-01,47931379-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537067
404-270,JAN18-1900SaSP-Saturday-01,47931385-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537065
404-270,JAN18-1900SaSP-Saturday-01,47931386-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537066
404-270,JAN18-1900SaSP-Saturday-01,47931388-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537066
404-270,JAN18-1900SaSP-Saturday-01,47931389-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537065
403-270,JAN18-1900SaSP-Saturday-01,47931393-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537064
403-270,JAN18-1900SaSP-Saturday-01,47931400-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537062
403-270,JAN18-1900SaSP-Saturday-01,47931401-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537061
403-270,JAN18-1900SaSP-Saturday-01,47931402-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537063
403-270,JAN18-1900SaSP-Saturday-01,47931405-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537060
403-270,JAN18-1900SaSP-Saturday-01,47931408-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537059
403-270,JAN18-1900SaSP-Saturday-01,47931415-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537058
402-270,JAN18-1900SaSP-Saturday-01,47931416-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537057
402-270,JAN18-1900SaSP-Saturday-01,47931417-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537056
404-270,JAN18-1900SaSP-Saturday-01,47931424-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537073
404-270,JAN18-1900SaSP-Saturday-01,47931425-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537073
401-270,JAN18-1900SaSP-Saturday-01,47931427-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537054
401-270,JAN18-1900SaSP-Saturday-01,47931428-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537055
404-270,JAN18-1900SaSP-Saturday-01,47931429-JAN18-1900SaSP-Saturday-01,"Canadian Tire Centre",0,5537073
403-270,JAN18-1930SupP-Weekday-01,47931432-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537079
401-270,JAN18-1930SupP-Weekday-01,47931433-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537092
402-270,JAN18-1930SupP-Weekday-01,47931434-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537075
402-270,JAN18-1930SupP-Weekday-01,47931435-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537076
403-270,JAN18-1930SupP-Weekday-01,47931436-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537077
401-270,JAN18-1930SupP-Weekday-01,47931437-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537091
403-270,JAN18-1930SupP-Weekday-01,47931438-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537078
403-270,JAN18-1930SupP-Weekday-01,47931439-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537081
403-270,JAN18-1930SupP-Weekday-01,47931440-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537083
403-270,JAN18-1930SupP-Weekday-01,47931441-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537080
403-270,JAN18-1930SupP-Weekday-01,47931442-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537082
405-270,JAN18-1930SupP-Weekday-01,47931443-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537087
405-270,JAN18-1930SupP-Weekday-01,47931444-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537088
405-270,JAN18-1930SupP-Weekday-01,47931445-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537089
406-270,JAN18-1930SupP-Weekday-01,47931446-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537090
405-270,JAN18-1930SupP-Weekday-01,47931447-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537086
404-270,JAN18-1930SupP-Weekday-01,47931448-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537085
404-270,JAN18-1930SupP-Weekday-01,47931449-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537085
404-270,JAN18-1930SupP-Weekday-01,47931450-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537094
404-270,JAN18-1930SupP-Weekday-01,47931451-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537084
404-270,JAN18-1930SupP-Weekday-01,47931452-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537084
404-270,JAN18-1930SupP-Weekday-01,47931454-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537093
404-270,JAN18-1930SupP-Weekday-01,47931456-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537084
404-270,JAN18-1930SupP-Weekday-01,47931457-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537093
404-270,JAN18-1930SupP-Weekday-01,47931458-JAN18-1930SupP-Weekday-01,"Canadian Tire Centre",0,5537094
301-273,JAN18-301Shop-Weekday-01,47716238-JAN18-301Shop-Weekday-01,"Bayshore Carlingwd",0,5514700
301-273,JAN18-301Shop-Weekday-01,47716242-JAN18-301Shop-Weekday-01,"Richmond Stittsville",1,5514700
302-273,JAN18-302Shop-Weekday-01,47716232-JAN18-302Shop-Weekday-01,"St Laurent Pl Orlns",0,5514699
302-273,JAN18-302Shop-Weekday-01,47716236-JAN18-302Shop-Weekday-01,"Cumberland",1,5514699
303-273,JAN18-303Shop-Weekday-01,47716225-JAN18-303Shop-Weekday-01,"Carlingwd Bayshore",0,5514698
303-273,JAN18-303Shop-Weekday-01,47716229-JAN18-303Shop-Weekday-01,"Dunrobin Carp",1,5514698
304-273,JAN18-304Shop-Weekday-01,47716246-JAN18-304Shop-Weekday-01,"Billings Brdg S. Keys",0,5514701
304-273,JAN18-304Shop-Weekday-01,47716250-JAN18-304Shop-Weekday-01,"Greely Metcalfe",1,5514701
305-273,JAN18-305Shop-Weekday-01,47716218-JAN18-305Shop-Weekday-01,"Carlingwood",0,5514697
305-273,JAN18-305Shop-Weekday-01,47716222-JAN18-305Shop-Weekday-01,"North Gower",1,5514697
95-273,JAN18-JANDA18-Weekday-28,47431023-JAN18-JANDA18-Weekday-28,"Orléans",0,5492267
95-273,JAN18-JANDA18-Weekday-28,47431024-JAN18-JANDA18-Weekday-28,"Barrhaven centre",1,5492698
99-273,JAN18-JANDA18-Weekday-28,47431025-JAN18-JANDA18-Weekday-28,"Greenboro",0,5491761
82-273,JAN18-JANDA18-Weekday-28,47431026-JAN18-JANDA18-Weekday-28,"Bayshore",1,5491761
97-273,JAN18-JANDA18-Weekday-28,47431027-JAN18-JANDA18-Weekday-28,"Airport / Aéroport",0,5492322
97-273,JAN18-JANDA18-Weekday-28,47431028-JAN18-JANDA18-Weekday-28,"Bells Corners",1,5491895
85-273,JAN18-JANDA18-Weekday-28,47431029-JAN18-JANDA18-Weekday-28,"Lees",0,5491895
85-273,JAN18-JANDA18-Weekday-28,47431030-JAN18-JANDA18-Weekday-28,"Bayshore",1,5491895
97-273,JAN18-JANDA18-Weekday-28,47431031-JAN18-JANDA18-Weekday-28,"Airport / Aéroport",0,5491913
97-273,JAN18-JANDA18-Weekday-28,47431032-JAN18-JANDA18-Weekday-28,"Bells Corners",1,5491913
91-273,JAN18-JANDA18-Weekday-28,47431033-JAN18-JANDA18-Weekday-28,"Orléans",0,5491691
91-273,JAN18-JANDA18-Weekday-28,47431035-JAN18-JANDA18-Weekday-28,"Orléans",0,5491684
19-273,JAN18-JANDA18-Weekday-28,47431036-JAN18-JANDA18-Weekday-28,"Bank",0,5492238
19-273,JAN18-JANDA18-Weekday-28,47431037-JAN18-JANDA18-Weekday-28,"St-Laurent",1,5492238
19-273,JAN18-JANDA18-Weekday-28,47431038-JAN18-JANDA18-Weekday-28,"Bank",0,5492238
19-273,JAN18-JANDA18-Weekday-28,47431039-JAN18-JANDA18-Weekday-28,"St-Laurent",1,5492238
19-273,JAN18-JANDA18-Weekday-28,47431040-JAN18-JANDA18-Weekday-28,"Bank",0,5492238
19-273,JAN18-JANDA18-Weekday-28,47431041-JAN18-JANDA18-Weekday-28,"St-Laurent",1,5492238
19-273,JAN18-JANDA18-Weekday-28,47431042-JAN18-JANDA18-Weekday-28,"Bank",0,5492238
19-273,JAN18-JANDA18-Weekday-28,47431043-JAN18-JANDA18-Weekday-28,"St-Laurent",1,5492238
264-273,JAN18-JANDA18-Weekday-28,47431044-JAN18-JANDA18-Weekday-28,"Terry Fox",1,5491542
166-273,JAN18-JANDA18-Weekday-28,47431045-JAN18-JANDA18-Weekday-28,"Eagleson",1,5491542
168-273,JAN18-JANDA18-Weekday-28,47431046-JAN18-JANDA18-Weekday-28,"Bridlewood",0,5491801
168-273,JAN18-JANDA18-Weekday-28,47431047-JAN18-JANDA18-Weekday-28,"Terry Fox",1,5491801
161-273,JAN18-JANDA18-Weekday-28,47431048-JAN18-JANDA18-Weekday-28,"Bridlewood",0,5492077
161-273,JAN18-JANDA18-Weekday-28,47431049-JAN18-JANDA18-Weekday-28,"Terry Fox",1,5492077
168-273,JAN18-JANDA18-Weekday-28,47431050-JAN18-JANDA18-Weekday-28,"Bridlewood",0,5492077
168-273,JAN18-JANDA18-Weekday-28,47431051-JAN18-JANDA18-Weekday-28,"Terry Fox",1,5492077
161-273,JAN18-JANDA18-Weekday-28,47431052-JAN18-JANDA18-Weekday-28,"Bridlewood",0,5491820
161-273,JAN18-JANDA18-Weekday-28,47431053-JAN18-JANDA18-Weekday-28,"Terry Fox",1,5491820
61-273,JAN18-JANDA18-Weekday-28,47431054-JAN18-JANDA18-Weekday-28,"St-Laurent",0,5492087
61-273,JAN18-JANDA18-Weekday-28,47431055-JAN18-JANDA18-Weekday-28,"Terry Fox",1,5492135
